road,id,model_type,name,lat,lon,length,chainage,condition
N2,201861,bridge,bridge 923,24.056740537365,90.9715766505399,4.0,69.416,A
N2,201862,link,link 934,24.0564864093418,90.97325243735784,350.0,69.59100000000001,
N2,201863,bridge,bridge 924,24.0562322813186,90.9749282241758,6.0,69.766,C
N2,201864,link,link 935,24.056181228699153,90.97537465261945,89.0,69.8105,
N2,201865,bridge,bridge 925,24.0561301760797,90.9758210810631,6.0,69.855,A
N2,201866,link,link 936,24.053583461650952,90.98288852247595,1748.0,70.729,
N2,201867,bridge,bridge 926,24.0510367472222,90.9899559638888,14.0,71.603,A
N2,201868,link,link 937,24.04989380862915,90.99086740161945,231.0,71.7185,
N2,201869,bridge,bridge 927,24.0487508700361,90.9917788393501,1059.25,71.834,A
N2,201870,link,link 938,24.043835672518,90.99731789217506,1595.0,72.6315,
N2,201871,bridge,bridge 928,24.0389204749999,91.002856945,3.0,73.429,A
N2,201872,link,link 939,24.03891092812495,91.002901216875,10.0,73.434,
N2,201873,bridge,bridge 929,24.03890138125,91.00294548875,3.0,73.439,A
N2,201874,link,link 940,24.0380644725527,91.0052759775075,501.0,73.6895,
N2,201875,bridge,bridge 930,24.037227563855403,91.007606466265,3.225,73.94,B
N2,201876,link,link 941,24.036700519750553,91.01088589826165,702.0,74.291,
N2,201877,bridge,bridge 931,24.0361734756457,91.0141653302583,6.1,74.642,A
N2,201878,link,link 942,24.036391386481853,91.01547764443944,273.0,74.77850000000001,
N2,201879,bridge,bridge 932,24.036609297318,91.0167899586206,3.1,74.915,C
N2,201880,link,link 943,24.03681605089265,91.0180152487261,257.0,75.0435,
N2,201881,bridge,bridge 933,24.0370228044673,91.0192405388316,3.15,75.172,C
N2,201882,link,link 944,24.0375773437999,91.02210870375315,606.0,75.475,
N2,201883,bridge,bridge 934,24.0381318831325,91.0249768686747,79.75,75.778,D
N2,201884,link,link 945,24.0384280645845,91.02666573281294,425.0,75.9905,
N2,201885,bridge,bridge 935,24.0387242460365,91.0283545969512,3.15,76.203,A
N2,201886,link,link 946,24.0388539756097,91.0290465658536,766.0,76.586,
N2,201887,bridge,bridge 936,24.0389837051829,91.029738534756,6.1,76.969,A
N2,201888,link,link 947,24.0391451916349,91.0305328605084,270.0,77.104,
N2,201889,bridge,bridge 937,24.0393066780869,91.0313271862608,12.5,77.239,A
N2,201890,link,link 948,24.0403119979796,91.0365648661091,1093.0,77.7855,
N2,201891,bridge,bridge 938,24.0413173178723,91.0418025459574,12.3,78.332,A
N2,201892,link,link 949,24.04213446141995,91.0466257903653,998.0,78.83099999999999,
N2,201893,bridge,bridge 939,24.0429516049676,91.0514490347732,3.1,79.33,A
N2,201894,link,link 950,24.043283475593952,91.05435517915765,598.0,79.62899999999999,
N2,201895,bridge,bridge 940,24.0436153462203,91.0572613235421,12.57,79.928,A
N2,201896,link,link 951,24.04362755550755,91.0573682385529,22.0,79.939,
N2,201897,bridge,bridge 941,24.0436397647948,91.0574751535637,3.0,79.95,A
