Step,AgentID,Delay time,Driving time of cars leaving
298,200000,,"[['Truck83521', 297]]"
298,200412,,"[['Truck83520', 297]]"
303,200000,,"[['Truck83523', 297]]"
303,200412,,"[['Truck83522', 297]]"
308,200000,,"[['Truck83525', 297]]"
308,200412,,"[['Truck83524', 297]]"
313,200000,,"[['Truck83527', 297]]"
313,200412,,"[['Truck83526', 297]]"
318,200000,,"[['Truck83529', 297]]"
318,200412,,"[['Truck83528', 297]]"
323,200000,,"[['Truck83531', 297]]"
323,200412,,"[['Truck83530', 297]]"
328,200000,,"[['Truck83533', 297]]"
328,200412,,"[['Truck83532', 297]]"
333,200000,,"[['Truck83535', 297]]"
333,200412,,"[['Truck83534', 297]]"
338,200000,,"[['Truck83537', 297]]"
338,200412,,"[['Truck83536', 297]]"
343,200000,,"[['Truck83539', 297]]"
343,200412,,"[['Truck83538', 297]]"
348,200000,,"[['Truck83541', 297]]"
348,200412,,"[['Truck83540', 297]]"
353,200000,,"[['Truck83543', 297]]"
353,200412,,"[['Truck83542', 297]]"
358,200000,,"[['Truck83545', 297]]"
358,200412,,"[['Truck83544', 297]]"
363,200000,,"[['Truck83547', 297]]"
363,200412,,"[['Truck83546', 297]]"
368,200000,,"[['Truck83549', 297]]"
368,200412,,"[['Truck83548', 297]]"
373,200000,,"[['Truck83551', 297]]"
373,200412,,"[['Truck83550', 297]]"
378,200000,,"[['Truck83553', 297]]"
378,200412,,"[['Truck83552', 297]]"
383,200000,,"[['Truck83555', 297]]"
383,200412,,"[['Truck83554', 297]]"
388,200000,,"[['Truck83557', 297]]"
388,200412,,"[['Truck83556', 297]]"
393,200000,,"[['Truck83559', 297]]"
393,200412,,"[['Truck83558', 297]]"
398,200000,,"[['Truck83561', 297]]"
398,200412,,"[['Truck83560', 297]]"
403,200000,,"[['Truck83563', 297]]"
403,200412,,"[['Truck83562', 297]]"
408,200000,,"[['Truck83565', 297]]"
408,200412,,"[['Truck83564', 297]]"
413,200000,,"[['Truck83567', 297]]"
413,200412,,"[['Truck83566', 297]]"
418,200000,,"[['Truck83569', 297]]"
418,200412,,"[['Truck83568', 297]]"
423,200000,,"[['Truck83571', 297]]"
423,200412,,"[['Truck83570', 297]]"
428,200000,,"[['Truck83573', 297]]"
428,200412,,"[['Truck83572', 297]]"
433,200000,,"[['Truck83575', 297]]"
433,200412,,"[['Truck83574', 297]]"
438,200000,,"[['Truck83577', 297]]"
438,200412,,"[['Truck83576', 297]]"
443,200000,,"[['Truck83579', 297]]"
443,200412,,"[['Truck83578', 297]]"
448,200000,,"[['Truck83581', 297]]"
448,200412,,"[['Truck83580', 297]]"
453,200000,,"[['Truck83583', 297]]"
453,200412,,"[['Truck83582', 297]]"
458,200000,,"[['Truck83585', 297]]"
458,200412,,"[['Truck83584', 297]]"
463,200000,,"[['Truck83587', 297]]"
463,200412,,"[['Truck83586', 297]]"
468,200000,,"[['Truck83589', 297]]"
468,200412,,"[['Truck83588', 297]]"
473,200000,,"[['Truck83591', 297]]"
473,200412,,"[['Truck83590', 297]]"
478,200000,,"[['Truck83593', 297]]"
478,200412,,"[['Truck83592', 297]]"
483,200000,,"[['Truck83595', 297]]"
483,200412,,"[['Truck83594', 297]]"
488,200000,,"[['Truck83597', 297]]"
488,200412,,"[['Truck83596', 297]]"
493,200000,,"[['Truck83599', 297]]"
493,200412,,"[['Truck83598', 297]]"
498,200000,,"[['Truck83601', 297]]"
498,200412,,"[['Truck83600', 297]]"
503,200000,,"[['Truck83603', 297]]"
503,200412,,"[['Truck83602', 297]]"
508,200000,,"[['Truck83605', 297]]"
508,200412,,"[['Truck83604', 297]]"
513,200000,,"[['Truck83607', 297]]"
513,200412,,"[['Truck83606', 297]]"
518,200000,,"[['Truck83609', 297]]"
518,200412,,"[['Truck83608', 297]]"
523,200000,,"[['Truck83611', 297]]"
523,200412,,"[['Truck83610', 297]]"
528,200000,,"[['Truck83613', 297]]"
528,200412,,"[['Truck83612', 297]]"
533,200000,,"[['Truck83615', 297]]"
533,200412,,"[['Truck83614', 297]]"
538,200000,,"[['Truck83617', 297]]"
538,200412,,"[['Truck83616', 297]]"
543,200000,,"[['Truck83619', 297]]"
543,200412,,"[['Truck83618', 297]]"
548,200000,,"[['Truck83621', 297]]"
548,200412,,"[['Truck83620', 297]]"
553,200000,,"[['Truck83623', 297]]"
553,200412,,"[['Truck83622', 297]]"
558,200000,,"[['Truck83625', 297]]"
558,200412,,"[['Truck83624', 297]]"
563,200000,,"[['Truck83627', 297]]"
563,200412,,"[['Truck83626', 297]]"
568,200000,,"[['Truck83629', 297]]"
568,200412,,"[['Truck83628', 297]]"
573,200000,,"[['Truck83631', 297]]"
573,200412,,"[['Truck83630', 297]]"
578,200000,,"[['Truck83633', 297]]"
578,200412,,"[['Truck83632', 297]]"
583,200000,,"[['Truck83635', 297]]"
583,200412,,"[['Truck83634', 297]]"
