Step,AgentID,Delay time,Driving time of cars leaving
771,200412,,"[['Truck118106', 705]]"
776,200412,,"[['Truck118082', 770]]"
777,200000,,"[['Truck118095', 741]]"
777,200412,,"[['Truck118094', 741]]"
787,200412,,"[['Truck118098', 741]]"
799,200412,,"[['Truck118080', 798]]"
807,200000,,"[['Truck118087', 791]]"
814,200412,,"[['Truck118084', 803]]"
817,200000,,"[['Truck118097', 776]]"
822,200000,,"[['Truck118081', 821]]"
827,200000,,"[['Truck118093', 796]]"
828,200000,,"[['Truck118109', 757]]"
829,200000,,"[['Truck118107', 763]]"
829,200412,,"[['Truck118090', 803]]"
836,200000,,"[['Truck118085', 825]]"
836,200412,,"[['Truck118112', 755]]"
838,200412,,"[['Truck118092', 807]]"
841,200000,,"[['Truck118091', 815]]"
841,200412,,"[['Truck118088', 820]]"
847,200000,,"[['Truck118103', 791]]"
847,200412,,"[['Truck118104', 786]]"
850,200000,,"[['Truck118111', 774]]"
852,200412,,"[['Truck118108', 781]]"
855,200412,,"[['Truck118086', 839]]"
859,200000,,"[['Truck118083', 853]]"
861,200000,,"[['Truck118089', 840], ['Truck118119', 765]]"
864,200412,,"[['Truck118102', 808]]"
869,200000,,"[['Truck118099', 823], ['Truck118123', 763]]"
871,200000,,"[['Truck118113', 790]]"
877,200000,,"[['Truck118115', 791]]"
877,200412,,"[['Truck118120', 776]]"
884,200412,,"[['Truck118118', 788]]"
887,200412,,"[['Truck118114', 801]]"
889,200000,,"[['Truck118105', 828]]"
891,200000,,"[['Truck118155', 705]]"
897,200412,,"[['Truck118110', 821]]"
898,200000,,"[['Truck118145', 737]]"
899,200412,,"[['Truck118116', 808], ['Truck118138', 753]]"
900,200000,,"[['Truck118135', 764]]"
901,200412,,"[['Truck118150', 725]]"
904,200000,,"[['Truck118101', 853], ['Truck118129', 783]]"
905,200000,,"[['Truck118137', 764]]"
907,200412,,"[['Truck118100', 856]]"
911,200412,,"[['Truck118154', 725]]"
912,200412,,"[['Truck118140', 761]]"
914,200000,,"[['Truck118125', 803]]"
918,200000,,"[['Truck118151', 742], ['Truck118159', 722]]"
926,200000,,"[['Truck118149', 755]]"
929,200412,,"[['Truck118134', 793]]"
930,200000,,"[['Truck118147', 764]]"
931,200412,,"[['Truck118132', 800]]"
934,200000,,"[['Truck118143', 778]]"
935,200412,,"[['Truck118142', 779]]"
939,200412,,"[['Truck118128', 818]]"
941,200412,,"[['Truck118124', 830]]"
946,200000,,"[['Truck118117', 855]]"
947,200000,,"[['Truck118131', 821], ['Truck118163', 741]]"
948,200000,,"[['Truck118121', 847]]"
949,200412,,"[['Truck118174', 713]]"
953,200412,,"[['Truck118164', 742]]"
955,200412,,"[['Truck118096', 914], ['Truck118130', 829]]"
958,200412,,"[['Truck118176', 717]]"
959,200000,,"[['Truck118139', 813]]"
963,200000,,"[['Truck118177', 722]]"
