Step,AgentID,Delay time,Driving time of cars leaving
427,200000,,"[['Truck77775', 391]]"
428,200000,,"[['Truck77763', 422]]"
431,200000,,"[['Truck77767', 415]]"
431,200412,,"[['Truck77762', 425]]"
433,200412,,"[['Truck77770', 407]]"
435,200412,,"[['Truck77764', 424]]"
443,200000,,"[['Truck77765', 432]]"
450,200412,,"[['Truck77766', 434]]"
452,200000,,"[['Truck77761', 451]]"
457,200000,,"[['Truck77783', 401]]"
459,200412,,"[['Truck77772', 428]]"
462,200000,,"[['Truck77773', 431]]"
470,200000,,"[['Truck77779', 424]]"
475,200412,,"[['Truck77786', 409]]"
479,200000,,"[['Truck77787', 413]]"
485,200000,,"[['Truck77769', 464]]"
489,200000,,"[['Truck77777', 448]]"
489,200412,,"[['Truck77790', 413]]"
491,200412,,"[['Truck77778', 445]]"
493,200000,,"[['Truck77789', 422]]"
494,200000,,"[['Truck77791', 418]]"
498,200000,,"[['Truck77793', 417]]"
499,200000,,"[['Truck77785', 438]]"
499,200412,,"[['Truck77784', 438]]"
503,200412,,"[['Truck77760', 502]]"
506,200412,,"[['Truck77788', 435]]"
513,200412,,"[['Truck77768', 492]]"
514,200412,,"[['Truck77776', 473]]"
520,200412,,"[['Truck77806', 404]]"
521,200412,,"[['Truck77780', 470]]"
526,200000,,"[['Truck77771', 500]]"
526,200412,,"[['Truck77798', 430]]"
532,200412,,"[['Truck77782', 476]]"
535,200000,,"[['Truck77825', 374]]"
536,200412,,"[['Truck77774', 500]]"
540,200000,,"[['Truck77797', 449]]"
544,200412,,"[['Truck77810', 418]]"
548,200412,,"[['Truck77822', 392]]"
550,200412,,"[['Truck77796', 459], ['Truck77818', 404]]"
551,200412,,"[['Truck77808', 430]]"
558,200000,,"[['Truck77817', 417]]"
558,200412,,"[['Truck77804', 447]]"
560,200412,,"[['Truck77814', 424]]"
561,200000,,"[['Truck77807', 445]]"
562,200000,,"[['Truck77803', 456], ['Truck77821', 411]]"
565,200000,,"[['Truck77827', 399]]"
567,200412,,"[['Truck77824', 406]]"
570,200000,,"[['Truck77809', 449]]"
572,200000,,"[['Truck77815', 436]]"
573,200000,,"[['Truck77781', 522], ['Truck77811', 447]]"
574,200412,,"[['Truck77812', 443]]"
580,200000,,"[['Truck77799', 484]]"
581,200412,,"[['Truck77792', 500]]"
586,200412,,"[['Truck77794', 500]]"
589,200000,,"[['Truck77831', 413]]"
590,200000,,"[['Truck77839', 394]]"
590,200412,,"[['Truck77830', 414]]"
593,200000,,"[['Truck77823', 437]]"
594,200000,,"[['Truck77805', 483]]"
595,200000,,"[['Truck77795', 509]]"
599,200000,,"[['Truck77813', 468]]"
601,200412,,"[['Truck77840', 400]]"
605,200412,,"[['Truck77846', 389]]"
606,200412,,"[['Truck77828', 435]]"
607,200412,,"[['Truck77834', 421]]"
609,200412,,"[['Truck77800', 508]]"
611,200412,,"[['Truck77802', 505]]"
617,200412,,"[['Truck77832', 436]]"
627,200412,,"[['Truck77826', 461]]"
628,200000,,"[['Truck77841', 427]]"
630,200412,,"[['Truck77836', 439]]"
632,200000,,"[['Truck77801', 531]]"
635,200412,,"[['Truck77838', 439], ['Truck77842', 429]]"
639,200000,,"[['Truck77843', 433]]"
641,200000,,"[['Truck77819', 495]]"
642,200000,,"[['Truck77859', 396]]"
643,200412,,"[['Truck77854', 407]]"
645,200000,,"[['Truck77869', 374]]"
645,200412,,"[['Truck77816', 504]]"
649,200412,,"[['Truck77850', 423]]"
655,200000,,"[['Truck77833', 474]]"
657,200000,,"[['Truck77837', 466]]"
658,200000,,"[['Truck77855', 422]]"
659,200000,,"[['Truck77857', 418]]"
659,200412,,"[['Truck77858', 413]]"
662,200000,,"[['Truck77847', 446]]"
663,200000,,"[['Truck77835', 477]]"
665,200000,,"[['Truck77829', 494]]"
667,200412,,"[['Truck77844', 456]]"
669,200412,,"[['Truck77856', 428]]"
674,200000,,"[['Truck77851', 448]]"
681,200000,,"[['Truck77845', 470]]"
683,200000,,"[['Truck77861', 432]]"
694,200000,,"[['Truck77865', 433]]"
694,200412,,"[['Truck77860', 443]]"
695,200412,,"[['Truck77820', 544]]"
697,200000,,"[['Truck77877', 406]]"
705,200412,,"[['Truck77874', 419]]"
706,200000,,"[['Truck77849', 485]]"
708,200000,,"[['Truck77875', 422]]"
712,200000,,"[['Truck77867', 446]]"
724,200000,,"[['Truck77891', 398]]"
724,200412,,"[['Truck77868', 453]]"
730,200412,,"[['Truck77852', 499]]"
732,200412,,"[['Truck77862', 476]]"
736,200000,,"[['Truck77853', 505]]"
737,200412,,"[['Truck77878', 441]]"
739,200412,,"[['Truck77848', 518], ['Truck77870', 463]]"
740,200412,,"[['Truck77864', 479]]"
741,200000,,"[['Truck77899', 395]]"
744,200000,,"[['Truck77871', 468]]"
746,200000,,"[['Truck77873', 465]]"
750,200412,,"[['Truck77876', 459]]"
751,200000,,"[['Truck77863', 495]]"
753,200412,,"[['Truck77884', 442]]"
754,200000,,"[['Truck77887', 438]]"
760,200412,,"[['Truck77886', 444]]"
761,200000,,"[['Truck77911', 385]]"
761,200412,,"[['Truck77866', 495]]"
764,200412,,"[['Truck77880', 463]]"
767,200000,,"[['Truck77905', 406]]"
768,200000,,"[['Truck77903', 412]]"
774,200412,,"[['Truck77898', 428]]"
779,200412,,"[['Truck77894', 443], ['Truck77906', 413]]"
781,200412,,"[['Truck77908', 410]]"
782,200000,,"[['Truck77879', 486]]"
785,200412,,"[['Truck77882', 479]]"
786,200000,,"[['Truck77885', 475]]"
791,200412,,"[['Truck77910', 415]]"
802,200000,,"[['Truck77881', 501]]"
805,200000,,"[['Truck77895', 469]]"
806,200000,,"[['Truck77917', 415]]"
808,200000,,"[['Truck77909', 437]]"
812,200000,,"[['Truck77901', 461]]"
813,200412,,"[['Truck77872', 532], ['Truck77904', 452]]"
816,200412,,"[['Truck77920', 415]]"
817,200000,,"[['Truck77883', 511]]"
818,200000,,"[['Truck77893', 487]]"
819,200000,,"[['Truck77907', 453]]"
823,200000,,"[['Truck77933', 392]]"
825,200412,,"[['Truck77888', 504]]"
827,200412,,"[['Truck77912', 446]]"
835,200000,,"[['Truck77919', 439]]"
838,200000,,"[['Truck77889', 517]]"
838,200412,,"[['Truck77918', 442]]"
843,200000,,"[['Truck77915', 457]]"
843,200412,,"[['Truck77922', 437]]"
846,200000,,"[['Truck77897', 505]]"
846,200412,,"[['Truck77916', 455], ['Truck77924', 435]]"
851,200412,,"[['Truck77914', 465]]"
852,200000,,"[['Truck77921', 451]]"
853,200412,,"[['Truck77896', 512], ['Truck77900', 502]]"
854,200000,,"[['Truck77937', 413]]"
861,200412,,"[['Truck77930', 435]]"
862,200412,,"[['Truck77932', 431]]"
865,200412,,"[['Truck77890', 539]]"
871,200000,,"[['Truck77925', 460]]"
873,200412,,"[['Truck77892', 542]]"
877,200412,,"[['Truck77940', 426]]"
879,200412,,"[['Truck77926', 463], ['Truck77934', 443]]"
882,200000,,"[['Truck77913', 501]]"
884,200412,,"[['Truck77954', 398]]"
885,200412,,"[['Truck77902', 529]]"
890,200000,,"[['Truck77939', 444]]"
894,200000,,"[['Truck77935', 458]]"
897,200000,,"[['Truck77923', 491]]"
898,200412,,"[['Truck77938', 452]]"
899,200000,,"[['Truck77949', 428]]"
903,200412,,"[['Truck77944', 442]]"
905,200412,,"[['Truck77946', 439]]"
907,200412,,"[['Truck77942', 451]]"
910,200412,,"[['Truck77928', 489]]"
911,200000,,"[['Truck77951', 435], ['Truck77961', 410]]"
911,200412,,"[['Truck77952', 430]]"
916,200412,,"[['Truck77966', 400]]"
917,200412,,"[['Truck77936', 476]]"
920,200000,,"[['Truck77941', 469]]"
928,200000,,"[['Truck77927', 512]]"
930,200000,,"[['Truck77929', 509]]"
932,200000,,"[['Truck77975', 396]]"
935,200000,,"[['Truck77969', 414]]"
940,200412,,"[['Truck77948', 469]]"
944,200000,,"[['Truck77945', 483], ['Truck77957', 453]]"
947,200000,,"[['Truck77955', 461]]"
949,200000,,"[['Truck77967', 433]]"
949,200412,,"[['Truck77958', 453]]"
950,200000,,"[['Truck77931', 524]]"
950,200412,,"[['Truck77956', 459], ['Truck77962', 444]]"
954,200000,,"[['Truck77947', 488]]"
956,200000,,"[['Truck77959', 460]]"
957,200000,,"[['Truck77943', 501]]"
958,200412,,"[['Truck77960', 457]]"
962,200000,,"[['Truck77953', 481]]"
971,200000,,"[['Truck77965', 460]]"
973,200000,,"[['Truck77971', 447]]"
974,200000,,"[['Truck77973', 443]]"
975,200412,,"[['Truck77968', 454]]"
977,200000,,"[['Truck77983', 421]]"
978,200412,,"[['Truck77950', 502]]"
979,200412,,"[['Truck77978', 433]]"
983,200412,,"[['Truck77984', 422]]"
987,200412,,"[['Truck77982', 431]]"
998,200412,,"[['Truck77964', 487]]"
1002,200000,,"[['Truck77993', 421]]"
1003,200000,,"[['Truck77999', 407]]"
1006,200000,,"[['Truck77989', 435]]"
1009,200412,,"[['Truck77986', 443]]"
1013,200000,,"[['Truck77979', 467]]"
1018,200000,,"[['Truck77977', 477]]"
1020,200000,,"[['Truck77963', 514]]"
1020,200412,,"[['Truck78010', 394]]"
1021,200000,,"[['Truck77991', 445]]"
1022,200412,,"[['Truck78006', 406]]"
1024,200000,,"[['Truck78005', 413]]"
1025,200412,,"[['Truck77980', 474]]"
1030,200412,,"[['Truck78004', 419]]"
1032,200412,,"[['Truck77974', 496]]"
1035,200000,,"[['Truck78019', 389]]"
1038,200000,,"[['Truck77985', 477]]"
1039,200412,,"[['Truck77996', 448]]"
1041,200412,,"[['Truck77970', 515]]"
1043,200412,,"[['Truck77992', 462]]"
1049,200412,,"[['Truck77988', 478]]"
1050,200000,,"[['Truck77997', 459]]"
1050,200412,,"[['Truck78016', 409]]"
1053,200412,,"[['Truck77976', 512]]"
1054,200000,,"[['Truck77981', 503]]"
1060,200412,,"[['Truck77972', 529], ['Truck78012', 429]]"
1061,200412,,"[['Truck77990', 485]]"
1062,200000,,"[['Truck78017', 421]]"
1062,200412,,"[['Truck78000', 461], ['Truck78008', 441]]"
1063,200000,,"[['Truck78003', 457]]"
1064,200000,,"[['Truck77987', 498], ['Truck78009', 443], ['Truck78031', 388]]"
1071,200000,,"[['Truck78023', 415]]"
1075,200412,,"[['Truck78026', 409]]"
1077,200000,,"[['Truck78013', 446]]"
1079,200412,,"[['Truck77994', 493], ['Truck78032', 398]]"
1081,200000,,"[['Truck78027', 415]]"
1082,200000,,"[['Truck78015', 446]]"
1085,200412,,"[['Truck78018', 439]]"
1086,200412,,"[['Truck77998', 490]]"
1092,200412,,"[['Truck78046', 376]]"
1094,200000,,"[['Truck78039', 398]]"
1094,200412,,"[['Truck78014', 458]]"
1099,200000,,"[['Truck78035', 413]]"
1105,200000,,"[['Truck78001', 504]]"
1106,200000,,"[['Truck78033', 425]]"
1110,200412,,"[['Truck78042', 404]]"
1116,200412,,"[['Truck78030', 440]]"
1118,200412,,"[['Truck78022', 462]]"
1120,200000,,"[['Truck78041', 419]]"
1120,200412,,"[['Truck78002', 514]]"
1121,200000,,"[['Truck77995', 535]]"
1125,200000,,"[['Truck78011', 499]]"
1127,200412,,"[['Truck78054', 391]]"
1128,200412,,"[['Truck78034', 442]]"
1131,200000,,"[['Truck78029', 460]]"
1131,200412,,"[['Truck78038', 435]]"
1132,200000,,"[['Truck78025', 471]]"
1134,200412,,"[['Truck78040', 433]]"
1139,200000,,"[['Truck78007', 523], ['Truck78047', 423]]"
1140,200000,,"[['Truck78037', 449]]"
1140,200412,,"[['Truck78036', 449]]"
1143,200412,,"[['Truck78052', 412]]"
1145,200000,,"[['Truck78053', 414]]"
1147,200000,,"[['Truck78051', 421]]"
1151,200412,,"[['Truck78020', 500], ['Truck78024', 490]]"
1154,200000,,"[['Truck78059', 408]]"
1162,200000,,"[['Truck78049', 441]]"
1164,200412,,"[['Truck78028', 493]]"
1171,200412,,"[['Truck78072', 390]]"
1172,200000,,"[['Truck78067', 406]]"
1178,200412,,"[['Truck78060', 427]]"
1182,200000,,"[['Truck78045', 471]]"
1184,200412,,"[['Truck78048', 463]]"
1185,200412,,"[['Truck78062', 429]]"
1191,200000,,"[['Truck78063', 435]]"
1194,200412,,"[['Truck78068', 423]]"
1196,200000,,"[['Truck78057', 455]]"
1197,200000,,"[['Truck78021', 546]]"
1202,200000,,"[['Truck78071', 426]]"
1203,200412,,"[['Truck78064', 442]]"
1207,200000,,"[['Truck78043', 501]]"
1209,200000,,"[['Truck78073', 428]]"
1209,200412,,"[['Truck78056', 468], ['Truck78078', 413]]"
1212,200412,,"[['Truck78076', 421]]"
1213,200000,,"[['Truck78093', 382]]"
1216,200412,,"[['Truck78080', 415]]"
1226,200000,,"[['Truck78083', 420]]"
1228,200000,,"[['Truck78079', 432]]"
1230,200412,,"[['Truck78050', 504]]"
1231,200412,,"[['Truck78058', 485]]"
1237,200412,,"[['Truck78074', 451]]"
1238,200000,,"[['Truck78069', 467]]"
1240,200000,,"[['Truck78103', 384]]"
1243,200412,,"[['Truck78096', 402]]"
1246,200412,,"[['Truck78090', 420]]"
1248,200412,,"[['Truck78100', 397]]"
1249,200000,,"[['Truck78065', 488]]"
1252,200412,,"[['Truck78044', 541]]"
1255,200000,,"[['Truck78055', 519]]"
1256,200412,,"[['Truck78086', 440]]"
1260,200000,,"[['Truck78077', 469]]"
1262,200412,,"[['Truck78110', 386]]"
1266,200412,,"[['Truck78112', 385]]"
1269,200000,,"[['Truck78089', 448]]"
1270,200412,,"[['Truck78066', 504], ['Truck78070', 494]]"
1271,200000,,"[['Truck78075', 485]]"
1273,200000,,"[['Truck78061', 522]]"
1276,200000,,"[['Truck78087', 460]]"
1283,200000,,"[['Truck78107', 417]]"
1284,200412,,"[['Truck78092', 453]]"
1286,200000,,"[['Truck78097', 445]]"
1291,200412,,"[['Truck78102', 435]]"
1292,200000,,"[['Truck78101', 441]]"
1297,200412,,"[['Truck78082', 491]]"
1300,200412,,"[['Truck78106', 434]]"
1307,200000,,"[['Truck78085', 496]]"
1309,200000,,"[['Truck78081', 508], ['Truck78113', 428]]"
1310,200412,,"[['Truck78094', 474]]"
1313,200412,,"[['Truck78104', 452]]"
1314,200000,,"[['Truck78117', 423]]"
1314,200412,,"[['Truck78084', 503]]"
1315,200000,,"[['Truck78105', 454]]"
1317,200000,,"[['Truck78115', 431]]"
1317,200412,,"[['Truck78122', 411]]"
1321,200412,,"[['Truck78120', 420]]"
1324,200412,,"[['Truck78108', 453]]"
1325,200000,,"[['Truck78121', 424]]"
1329,200000,,"[['Truck78109', 458]]"
1330,200412,,"[['Truck78116', 439]]"
1332,200000,,"[['Truck78125', 421]]"
1334,200000,,"[['Truck78091', 508]]"
1339,200000,,"[['Truck78119', 443]]"
1351,200412,,"[['Truck78114', 465], ['Truck78124', 440]]"
1355,200000,,"[['Truck78147', 389]]"
1357,200000,,"[['Truck78099', 511]]"
1359,200412,,"[['Truck78088', 538]]"
1364,200000,,"[['Truck78095', 528]]"
1365,200412,,"[['Truck78126', 449]]"
1367,200000,,"[['Truck78143', 411]]"
1368,200412,,"[['Truck78136', 427]]"
1372,200412,,"[['Truck78138', 426]]"
1374,200412,,"[['Truck78098', 528]]"
1375,200000,,"[['Truck78159', 379]]"
1376,200000,,"[['Truck78133', 445]]"
1378,200000,,"[['Truck78139', 432]]"
1378,200412,,"[['Truck78118', 482]]"
1387,200000,,"[['Truck78163', 381]]"
1390,200000,,"[['Truck78137', 449]]"
1395,200000,,"[['Truck78141', 444]]"
1398,200000,,"[['Truck78111', 522]]"
1400,200412,,"[['Truck78128', 479]]"
1402,200000,,"[['Truck78161', 401]]"
1407,200412,,"[['Truck78168', 386]]"
1408,200000,,"[['Truck78129', 487]]"
1408,200412,,"[['Truck78134', 472]]"
1409,200412,,"[['Truck78162', 403], ['Truck78166', 393]]"
1410,200412,,"[['Truck78140', 459]]"
1411,200000,,"[['Truck78127', 495]]"
1411,200412,,"[['Truck78130', 485]]"
1412,200000,,"[['Truck78155', 426]]"
1413,200000,,"[['Truck78157', 422]]"
1418,200412,,"[['Truck78142', 462]]"
1419,200000,,"[['Truck78151', 443]]"
1420,200000,,"[['Truck78135', 484]]"
1421,200412,,"[['Truck78170', 395]]"
1422,200000,,"[['Truck78131', 496]]"
1422,200412,,"[['Truck78150', 446]]"
1424,200412,,"[['Truck78144', 463]]"
1425,200412,,"[['Truck78148', 454]]"
1429,200412,,"[['Truck78152', 448]]"
1433,200412,,"[['Truck78164', 422]]"
1436,200412,,"[['Truck78160', 435]]"
1437,200000,,"[['Truck78123', 531]]"
1438,200000,,"[['Truck78177', 397], ['Truck78179', 392]]"
1442,200000,,"[['Truck78171', 416]]"
1444,200000,,"[['Truck78165', 433]]"
1448,200000,,"[['Truck78181', 397]]"
1452,200412,,"[['Truck78132', 521]]"
1457,200000,,"[['Truck78173', 426]]"
1458,200000,,"[['Truck78149', 487]]"
1460,200412,,"[['Truck78184', 399]]"
1461,200000,,"[['Truck78145', 500]]"
1465,200412,,"[['Truck78146', 499]]"
1470,200000,,"[['Truck78167', 454]]"
1470,200412,,"[['Truck78156', 479]]"
1475,200412,,"[['Truck78154', 489]]"
1480,200412,,"[['Truck78198', 384]]"
1483,200412,,"[['Truck78196', 392]]"
1485,200000,,"[['Truck78175', 449], ['Truck78197', 394]]"
1485,200412,,"[['Truck78174', 449]]"
1487,200412,,"[['Truck78188', 416]]"
1489,200412,,"[['Truck78178', 443]]"
1496,200000,,"[['Truck78185', 435]]"
1498,200412,,"[['Truck78158', 502]]"
1507,200412,,"[['Truck78172', 476]]"
1513,200000,,"[['Truck78153', 532], ['Truck78205', 402]]"
1518,200000,,"[['Truck78191', 442]]"
1519,200412,,"[['Truck78186', 453]]"
1521,200412,,"[['Truck78214', 385]]"
1527,200412,,"[['Truck78190', 451]]"
1532,200412,,"[['Truck78194', 446]]"
1536,200000,,"[['Truck78211', 410]]"
1543,200000,,"[['Truck78217', 402]]"
1546,200412,,"[['Truck78180', 495]]"
1548,200000,,"[['Truck78187', 482]]"
1548,200412,,"[['Truck78182', 492]]"
1553,200412,,"[['Truck78222', 397]]"
1555,200000,,"[['Truck78169', 534]]"
1555,200412,,"[['Truck78192', 474]]"
1559,200000,,"[['Truck78199', 463]]"
1563,200000,,"[['Truck78201', 462]]"
1564,200000,,"[['Truck78225', 403]]"
1567,200000,,"[['Truck78189', 496]]"
1568,200000,,"[['Truck78193', 487]]"
1568,200412,,"[['Truck78176', 527]]"
1571,200412,,"[['Truck78200', 470]]"
1573,200412,,"[['Truck78206', 457]]"
1579,200000,,"[['Truck78215', 443]]"
1582,200412,,"[['Truck78204', 471]]"
1583,200412,,"[['Truck78224', 422]]"
1586,200000,,"[['Truck78195', 500]]"
1588,200000,,"[['Truck78183', 532]]"
1588,200412,,"[['Truck78230', 412]]"
1592,200000,,"[['Truck78233', 411]]"
1592,200412,,"[['Truck78238', 396]]"
1594,200000,,"[['Truck78207', 478]]"
1597,200000,,"[['Truck78209', 476]]"
1597,200412,,"[['Truck78228', 426]]"
1610,200000,,"[['Truck78247', 394]]"
1611,200412,,"[['Truck78232', 430]]"
1616,200000,,"[['Truck78213', 485]]"
1619,200412,,"[['Truck78240', 418]]"
1621,200000,,"[['Truck78227', 455]]"
1623,200000,,"[['Truck78249', 402]]"
1623,200412,,"[['Truck78212', 492]]"
1624,200412,,"[['Truck78202', 518], ['Truck78218', 478]]"
1628,200412,,"[['Truck78216', 487]]"
1630,200000,,"[['Truck78203', 524]]"
1638,200412,,"[['Truck78208', 517], ['Truck78244', 427]]"
1640,200000,,"[['Truck78229', 469]]"
1640,200412,,"[['Truck78220', 489], ['Truck78226', 474]]"
1644,200000,,"[['Truck78223', 488]]"
1650,200412,,"[['Truck78236', 459]]"
1656,200000,,"[['Truck78235', 470]]"
1656,200412,,"[['Truck78234', 470], ['Truck78252', 425]]"
1657,200000,,"[['Truck78251', 431]]"
1658,200000,,"[['Truck78219', 512], ['Truck78221', 507]]"
1660,200412,,"[['Truck78210', 534]]"
1661,200000,,"[['Truck78243', 455]]"
1662,200000,,"[['Truck78245', 451]]"
1663,200412,,"[['Truck78260', 412]]"
1666,200000,,"[['Truck78267', 400]]"
1670,200000,,"[['Truck78255', 434]]"
1670,200412,,"[['Truck78242', 464]]"
1671,200000,,"[['Truck78259', 425]]"
1673,200412,,"[['Truck78254', 437]]"
