Step,AgentID,Delay time,Driving time of cars leaving
462,200000,,"[['Truck109443', 456]]"
500,200000,,"[['Truck109461', 449]]"
502,200412,,"[['Truck109446', 486]]"
512,200412,,"[['Truck109458', 466]]"
522,200000,,"[['Truck109449', 501], ['Truck109457', 481]]"
523,200000,,"[['Truck109463', 467]]"
528,200000,,"[['Truck109459', 482]]"
530,200412,,"[['Truck109440', 529], ['Truck109442', 524]]"
533,200000,,"[['Truck109447', 517]]"
538,200000,,"[['Truck109445', 527]]"
541,200000,,"[['Truck109441', 540]]"
542,200412,,"[['Truck109450', 516]]"
544,200000,,"[['Truck109467', 478]]"
549,200412,,"[['Truck109448', 528]]"
556,200000,,"[['Truck109465', 495]]"
568,200412,,"[['Truck109444', 557]]"
570,200412,,"[['Truck109462', 514]]"
573,200412,,"[['Truck109464', 512]]"
576,200000,,"[['Truck109471', 500]]"
585,200412,,"[['Truck109460', 534]]"
587,200412,,"[['Truck109456', 546]]"
588,200000,,"[['Truck109453', 557]]"
591,200000,,"[['Truck109477', 500]]"
594,200412,,"[['Truck109468', 523]]"
596,200000,,"[['Truck109469', 525]]"
608,200412,,"[['Truck109484', 497]]"
609,200412,,"[['Truck109496', 468]]"
614,200412,,"[['Truck109494', 478]]"
615,200000,,"[['Truck109483', 509]]"
615,200412,,"[['Truck109482', 509]]"
620,200000,,"[['Truck109475', 534]]"
622,200000,,"[['Truck109495', 486]]"
625,200000,,"[['Truck109491', 499]]"
630,200000,,"[['Truck109451', 604]]"
630,200412,,"[['Truck109452', 599]]"
631,200412,,"[['Truck109476', 540], ['Truck109490', 505]]"
633,200412,,"[['Truck109478', 537]]"
638,200412,,"[['Truck109500', 487]]"
640,200000,,"[['Truck109493', 509]]"
645,200412,,"[['Truck109508', 474]]"
646,200000,,"[['Truck109455', 610]]"
648,200000,,"[['Truck109485', 537]]"
648,200412,,"[['Truck109472', 567]]"
650,200412,,"[['Truck109474', 564]]"
652,200412,,"[['Truck109512', 471]]"
655,200412,,"[['Truck109454', 619]]"
657,200412,,"[['Truck109498', 511]]"
661,200000,,"[['Truck109481', 560], ['Truck109487', 545]]"
665,200000,,"[['Truck109479', 569]]"
670,200000,,"[['Truck109503', 514]]"
671,200000,,"[['Truck109519', 475]]"
673,200412,,"[['Truck109504', 512]]"
674,200000,,"[['Truck109489', 553]]"
