Step,AgentID,Delay time,Driving time of cars leaving
866,200000,,"[['Truck132505', 805]]"
874,200412,,"[['Truck132492', 843]]"
877,200000,,"[['Truck132481', 876]]"
881,200412,,"[['Truck132490', 855]]"
882,200412,,"[['Truck132480', 881]]"
894,200000,,"[['Truck132493', 863]]"
898,200000,,"[['Truck132497', 857]]"
898,200412,,"[['Truck132494', 862]]"
899,200000,,"[['Truck132483', 893]]"
907,200000,,"[['Truck132519', 811]]"
910,200412,,"[['Truck132482', 904], ['Truck132486', 894]]"
916,200000,,"[['Truck132507', 850]]"
918,200000,,"[['Truck132499', 872]]"
920,200412,,"[['Truck132484', 909]]"
921,200412,,"[['Truck132504', 860]]"
928,200000,,"[['Truck132495', 892]]"
930,200000,,"[['Truck132485', 919]]"
938,200000,,"[['Truck132489', 917]]"
940,200000,,"[['Truck132503', 884]]"
948,200412,,"[['Truck132552', 767]]"
951,200412,,"[['Truck132514', 865]]"
953,200000,,"[['Truck132511', 877]]"
955,200000,,"[['Truck132501', 904]]"
957,200000,,"[['Truck132555', 771]]"
959,200412,,"[['Truck132510', 883]]"
961,200412,,"[['Truck132498', 915]]"
962,200412,,"[['Truck132502', 906]]"
963,200000,,"[['Truck132517', 872], ['Truck132523', 857]]"
964,200412,,"[['Truck132508', 893]]"
966,200000,,"[['Truck132537', 825]]"
967,200000,,"[['Truck132525', 856]]"
973,200000,,"[['Truck132491', 947]]"
974,200000,,"[['Truck132533', 843]]"
975,200412,,"[['Truck132500', 924]]"
976,200412,,"[['Truck132506', 910]]"
985,200412,,"[['Truck132488', 964]]"
987,200000,,"[['Truck132487', 971]]"
994,200000,,"[['Truck132515', 908]]"
995,200000,,"[['Truck132539', 849]]"
995,200412,,"[['Truck132528', 874]]"
1001,200412,,"[['Truck132526', 885]]"
1002,200412,,"[['Truck132496', 961]]"
1005,200000,,"[['Truck132521', 904]]"
1005,200412,,"[['Truck132540', 854]]"
1006,200000,,"[['Truck132543', 850]]"
1014,200000,,"[['Truck132531', 888]]"
1016,200000,,"[['Truck132581', 765]]"
1016,200412,,"[['Truck132512', 935]]"
1021,200412,,"[['Truck132542', 865]]"
1022,200412,,"[['Truck132520', 921]]"
1025,200000,,"[['Truck132509', 954]]"
1030,200000,,"[['Truck132535', 894]]"
1036,200412,,"[['Truck132538', 890]]"
1044,200412,,"[['Truck132516', 953], ['Truck132518', 948], ['Truck132522', 938]]"
1045,200000,,"[['Truck132529', 924]]"
1045,200412,,"[['Truck132582', 789]]"
1046,200000,,"[['Truck132551', 870]]"
1046,200412,,"[['Truck132566', 830]]"
1047,200412,,"[['Truck132576', 806]]"
1048,200000,,"[['Truck132569', 827]]"
1051,200000,,"[['Truck132559', 855]]"
1053,200412,,"[['Truck132532', 922]]"
1058,200412,,"[['Truck132534', 922], ['Truck132554', 872]]"
1062,200412,,"[['Truck132572', 831]]"
1066,200000,,"[['Truck132513', 985], ['Truck132583', 810]]"
1068,200412,,"[['Truck132586', 802]]"
1070,200412,,"[['Truck132588', 799]]"
1075,200000,,"[['Truck132585', 814]]"
1075,200412,,"[['Truck132524', 964], ['Truck132560', 874], ['Truck132568', 854]]"
1076,200000,,"[['Truck132571', 850]]"
1078,200000,,"[['Truck132527', 962]]"
1078,200412,,"[['Truck132556', 887]]"
1084,200000,,"[['Truck132565', 873]]"
1086,200412,,"[['Truck132530', 960]]"
1090,200412,,"[['Truck132544', 929]]"
1096,200412,,"[['Truck132536', 955]]"
1097,200000,,"[['Truck132541', 946], ['Truck132545', 936]]"
1098,200000,,"[['Truck132557', 907]]"
1098,200412,,"[['Truck132550', 922]]"
